event,tournament_url,tournament_start_time,round,group,game_url,white_username,black_username,white_uuid,black_uuid,white_rating,black_rating,target,white_result_code,black_result_code,fen,eco,end_time,pgn_result,termination
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390699,francesatop,kaidanov,13ebce30-e9b7-11eb-aeb7-f349694f5fe0,4004d77a-d563-11de-8048-000000000000,2495,2658,white_loss,resigned,win,r4rk1/pp5p/2p2pp1/4pb2/2P1n3/2B2NR1/PP3PPP/3R2K1 w - - 2 21,https://www.chess.com/openings/Queens-Gambit-Declined-Marshall-Gambit...7.Bxb4-Qxe4-8.Be2-Na6-9.Bc3,1770743197,0-1,kaidanov won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390701,nastyahn,gaidym72,df02191c-22dc-11e8-8000-000000000000,d66b98da-2963-11e9-940a-f3add4f38954,2638,2510,white_loss,resigned,win,4k3/pp2q3/2p2K1R/3p4/P7/1P3b2/8/8 w - - 0 51,https://www.chess.com/openings/Reti-Opening-Dutch-Variation...3.Bg2-e6-4.O-O-d5,1770743572,0-1,gaidym72 won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390703,maurijs,bazar-wokzal,c4ad0708-2e5e-11e6-8026-000000000000,8e53d6f4-5d70-11e7-8044-000000000000,2509,2632,white_win,win,resigned,1k2Qn1R/ppp3p1/3q4/6P1/3p4/PB1P4/1PP2r2/1K6 b - - 1 32,https://www.chess.com/openings/Nimzowitsch-Defense-Declined...3.exd5-Qxd5-4.Nc3-Qa5,1770743422,1-0,Maurijs won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390705,cocosiukas,earlybird2012,05346060-2fae-11ef-86d2-ff736a4cdee5,6fc695f8-5b81-11e9-994b-bf6e2ad01302,2500,2622,white_win,win,timeout,7k/2p2p2/p3p1p1/4P3/6NP/3q1NP1/5PK1/8 b - - 4 58,https://www.chess.com/openings/Indian-Game-2.Bf4-e6-3.e3,1770743581,1-0,Cocosiukas won on time
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390707,coachsuhaas,sanbruh,f86cc7ce-c5b8-11de-8029-000000000000,06ece29e-2d55-11e9-997f-13bb0bea5c91,2636,2481,white_win,win,resigned,7k/7p/8/3P4/P1PQ1p2/7P/1q2rPP1/3R2K1 b - - 2 33,https://www.chess.com/openings/Kings-Indian-Defense-Bayonet-Sokolov-Line-10...Nf4-11.Bf1-a5-12.bxa5,1770743456,1-0,CoachSuhaas won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390709,saranyadevinarahari,midgardsormur,a77f0488-d70b-11ef-be1d-f5ae4d883f09,ff7d46f2-7e19-11e7-8058-000000000000,2493,2614,white_win,win,resigned,7k/1p6/p7/3p2R1/6R1/P4KPP/1r3P2/1r6 b - - 8 47,https://www.chess.com/openings/Caro-Kann-Defense-Panov-Attack-4...Nf6-5.Nf3-Nc6-6.Nc3,1770743538,1-0,SaranyaDeviNarahari won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390711,marcbarcelo,nexoknight11,db634340-f78f-11f0-90ab-1568a0b4420f,93db6bb0-0c23-11e9-8062-000000000000,2491,2613,white_win,win,resigned,R2r4/R1k5/6p1/1qprpp1p/1pN5/3P1Q1P/1P3PP1/6K1 b - - 7 40,https://www.chess.com/openings/Sicilian-Defense-Nyezhmetdinov-Rossolimo-Attack-3...Nf6-4.e5,1770743467,1-0,MarcBarcelo won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390713,janmur7,gen-gutman,87d116c4-d633-11e8-805e-000000000000,5a8b29f4-6cb3-11e4-801c-000000000000,2626,2469,white_win,win,checkmated,Q7/1Q5K/8/8/8/k7/8/8 b - - 10 77,https://www.chess.com/openings/Slav-Defense-Modern-Three-Knights-Variation,1770743596,1-0,JanMur7 won by checkmate
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390715,kimkibo,tugaychess,630804d4-bdc3-11ed-920e-fffc14897d9e,276da188-7ff7-11f0-b517-a110b2571a06,2626,2465,white_win,win,resigned,3r1b1k/ppN5/2bPR2p/5p1B/8/7P/P4PP1/3R2K1 b - - 0 28,https://www.chess.com/openings/Kings-Indian-Defense-Accelerated-Averbakh-Variation,1770743472,1-0,Kimkibo won by resignation
feb_2026,https://www.chess.com/tournament/live/titled-tuesday-blitz-february-10-2026-6221327,1770739200,6,1,https://www.chess.com/game/live/165056390717,guillead1,shivananda1964,01d2faa2-a9ed-11e1-801a-000000000000,f7c0d0e0-5734-11ea-aa9b-afd0dcb7d4d6,2605,2476,white_loss,timeout,win,4r3/p5k1/6p1/1p6/2p4p/4pbqP/PP4P1/4R1RK w - - 0 42,https://www.chess.com/openings/Indian-Game-Black-Knights-Tango-3.d5-Ne5,1770743579,0-1,Shivananda1964 won on time
